timestamp,lat,lon,orientation,fix_quality,hdop,numsats,cog,sog
1733437382.4462855,48.68483642166667,-123.19208729,39.1,2,0.7,26,0,0
1733437382.646309,48.68483642166667,-123.19208729,39.1,2,0.7,26,0,0
1733437382.8511467,48.68483642166667,-123.19208729,39.1,2,0.7,26,0,0
1733437383.0477154,48.68483642166667,-123.19208729,39,2,0.7,26,0,0
1733437383.2445765,48.68483642166667,-123.19208729,39,2,0.7,26,0,0
1733437383.4562883,48.68483642166667,-123.19208729,39,2,0.7,26,0,0
1733437383.6470432,48.684836485,-123.192087235,39.1,2,0.7,27,0,0
1733437383.8457696,48.684836485,-123.192087235,39.1,2,0.7,27,0,0
1733437384.0461352,48.684836485,-123.192087235,39.1,2,0.7,27,0,0
1733437384.2489102,48.684836485,-123.192087235,39.1,2,0.7,27,0,0
1733437384.4480634,48.684836485,-123.192087235,39.1,2,0.7,27,0,0
1733437384.6518745,48.684836651666664,-123.19208761,39,2,0.7,27,0,0
1733437384.8493779,48.684836651666664,-123.19208761,39,2,0.7,27,0,0
1733437385.0464249,48.684836651666664,-123.19208761,39,2,0.7,27,0,0
1733437385.2458043,48.684836651666664,-123.19208761,39,2,0.7,27,0,0
1733437385.45566,48.684836651666664,-123.19208761,39,2,0.7,27,0,0
1733437385.6489835,48.684836855,-123.192087585,39.1,2,0.7,27,0,0
1733437385.8545485,48.684836855,-123.192087585,39.1,2,0.7,27,0,0
1733437386.0464966,48.684836855,-123.192087585,39.1,2,0.7,27,0,0
1733437386.2529635,48.684836855,-123.192087585,39.1,2,0.7,27,0,0
1733437386.4470174,48.68483683,-123.19208794833334,39,2,0.7,27,0,0
1733437386.6511407,48.68483683,-123.19208794833334,39,2,0.7,27,0,0
1733437386.8516433,48.68483683,-123.19208794833334,39,2,0.7,27,0,0
1733437387.056252,48.68483683,-123.19208794833334,38.9,2,0.7,27,0,0
1733437387.2704575,48.68483683,-123.19208794833334,38.9,2,0.7,27,0,0
1733437387.450748,48.68483683,-123.19208794833334,38.9,2,0.7,27,0,0
1733437387.6584578,48.68483702333333,-123.19208815166667,38.9,2,0.7,27,0,0
1733437387.856756,48.68483702333333,-123.19208815166667,38.9,2,0.7,27,0,0
1733437388.0821557,48.68483702333333,-123.19208815166667,39,2,0.7,27,0,0
1733437388.2543268,48.68483702333333,-123.19208815166667,39,2,0.7,27,0,0
1733437388.4572544,48.68483702333333,-123.19208815166667,39,2,0.7,27,0,0
1733437388.6536853,48.68483709666667,-123.19208829,38.9,2,0.7,27,0,0
