timestamp,utc,latitude,longitude,fix_quality,numsats,hdop,orthometric_height
1733437053.0068262,221733.0,48.684825063333335,-123.19206436166667,2,27,0.8,1.299
1733437054.0148215,221734.0,48.684825195,-123.19206469,2,27,0.8,1.307
1733437055.0080152,221735.0,48.684825231666665,-123.19206414,2,27,0.8,1.31
1733437056.0065975,221736.0,48.68482534,-123.19206427333333,2,27,0.8,1.316
1733437057.0064178,221737.0,48.684825335,-123.19206411833333,2,27,0.8,1.315
1733437058.0077798,221738.0,48.68482529833334,-123.192064145,2,27,0.8,1.313
1733437059.0065951,221739.0,48.68482522666667,-123.19206370333333,2,27,0.8,1.31
1733437060.0084925,221740.0,48.68482524833333,-123.19206396166666,2,27,0.8,1.308
1733437061.0073047,221741.0,48.68482521666667,-123.19206395,2,27,0.8,1.308
1733437062.0058377,221742.0,48.684825075,-123.19206379833334,2,27,0.8,1.289
1733437063.0146255,221743.0,48.68482530166666,-123.19206384166667,2,27,0.8,1.299
1733437064.0065522,221744.0,48.68482518166667,-123.19206350833333,2,27,0.8,1.297
1733437065.0075097,221745.0,48.68482516,-123.19206377666667,2,27,0.7,1.288
1733437066.0061781,221746.0,48.68482530666667,-123.19206364333333,2,27,0.7,1.286
1733437067.0110364,221747.0,48.684825115,-123.192063765,2,27,0.7,1.3
1733437068.0060892,221748.0,48.684825268333334,-123.192063715,2,27,0.7,1.296
1733437069.0152423,221749.0,48.68482516,-123.19206361833334,2,27,0.7,1.297
1733437070.0144215,221750.0,48.68482514833333,-123.19206380166666,2,27,0.7,1.298
1733437071.00663,221751.0,48.684825185,-123.19206346166666,2,27,0.7,1.291
1733437072.0072308,221752.0,48.68482512166667,-123.19206348333333,2,27,0.7,1.305
1733437073.0055232,221753.0,48.684825245,-123.19206337833333,2,27,0.7,1.31
1733437074.008033,221754.0,48.68482524,-123.19206332,2,27,0.7,1.311
1733437075.012788,221755.0,48.684825073333336,-123.19206317666666,2,27,0.7,1.325
1733437076.0086331,221756.0,48.68482542,-123.19206328333334,2,27,0.7,1.311
1733437077.0065129,221757.0,48.684825265,-123.19206305666667,2,26,0.7,1.321
1733437078.0159326,221758.0,48.684825581666665,-123.19206322166667,2,26,0.7,1.311
1733437079.004998,221759.0,48.684825245,-123.192062875,2,26,0.7,1.314
1733437080.0056696,221800.0,48.68482573833333,-123.19206308833333,2,26,0.7,1.311
1733437081.0177836,221801.0,48.684825288333336,-123.19206283,2,26,0.7,1.322
1733437082.0127103,221802.0,48.684825638333336,-123.19206298333333,2,26,0.7,1.317
1733437083.0050595,221803.0,48.68482551333334,-123.19206275833334,2,26,0.7,1.327
1733437084.0046737,221804.0,48.68482556666667,-123.19206276,2,26,0.7,1.318
1733437085.0052316,221805.0,48.684825593333336,-123.19206269333333,2,25,0.7,1.319
1733437086.0053608,221806.0,48.684825493333335,-123.19206263666666,2,25,0.7,1.321
1733437087.004151,221807.0,48.68482535166667,-123.19206259333333,2,25,0.7,1.322
1733437088.0043488,221808.0,48.684825518333334,-123.192062555,2,25,0.7,1.317
1733437089.0121934,221809.0,48.68482561166667,-123.19206287,2,25,0.7,1.314
1733437090.0131147,221810.0,48.68482529166667,-123.192062375,2,25,0.7,1.31
1733437091.0167072,221811.0,48.684825485,-123.19206282833333,2,25,0.7,1.295
1733437092.004365,221812.0,48.68482526333333,-123.19206239666667,2,25,0.7,1.302
1733437093.015867,221813.0,48.68482544,-123.19206270166667,2,25,0.7,1.313
1733437094.0092442,221814.0,48.68482521833333,-123.19206228166667,2,25,0.7,1.304
1733437095.0086367,221815.0,48.684825526666664,-123.19206286,2,25,0.7,1.31
1733437096.0048993,221816.0,48.68482523,-123.192062295,2,25,0.7,1.309
1733437097.0045748,221817.0,48.68482529833334,-123.19206279,2,25,0.7,1.315
1733437098.0134578,221818.0,48.684825276666665,-123.19206243666666,2,25,0.7,1.305
1733437099.0120401,221819.0,48.68482534666666,-123.19206268333333,2,25,0.7,1.31
1733437100.0042908,221820.0,48.684825251666666,-123.19206250666667,2,25,0.7,1.298
1733437101.0037007,221821.0,48.684825255,-123.19206268666667,2,25,0.7,1.301
1733437102.0042105,221822.0,48.684825178333334,-123.192062605,2,25,0.7,1.297
1733437103.0040624,221823.0,48.68482511166667,-123.19206263833334,2,25,0.7,1.293
1733437104.0040383,221824.0,48.68482533833333,-123.192062855,2,25,0.7,1.282
1733437105.0082004,221825.0,48.684825005,-123.192062575,2,25,0.7,1.284
1733437106.003958,221826.0,48.684825231666665,-123.19206282833333,2,25,0.7,1.279
1733437107.0038638,221827.0,48.684824981666665,-123.192062405,2,25,0.7,1.292
1733437108.00441,221828.0,48.684824875,-123.192062505,2,25,0.7,1.302
1733437109.0150983,221829.0,48.684825051666664,-123.19206251,2,26,0.7,1.288
1733437110.0036042,221830.0,48.684824845,-123.19206243666666,2,26,0.7,1.301
1733437111.003432,221831.0,48.684824965,-123.19206249833333,2,26,0.7,1.301
1733437112.00458,221832.0,48.684825135,-123.19206241166667,2,26,0.7,1.292
1733437113.0072892,221833.0,48.684825018333335,-123.19206229,2,26,0.7,1.296
1733437114.0115068,221834.0,48.68482517666666,-123.19206232833334,2,26,0.7,1.307
1733437115.0101025,221835.0,48.68482502333333,-123.19206238,2,26,0.7,1.311
1733437116.0106757,221836.0,48.684825105,-123.19206245,2,26,0.7,1.309
1733437117.0032604,221837.0,48.684824821666666,-123.19206239,2,26,0.7,1.303
1733437118.0031042,221838.0,48.684824936666665,-123.19206249,2,26,0.7,1.294
1733437119.0055847,221839.0,48.684824703333334,-123.19206227166667,2,26,0.7,1.293
1733437120.0105145,221840.0,48.68482513166666,-123.19206256166666,2,26,0.7,1.288
1733437121.0122578,221841.0,48.684824815,-123.19206225666667,2,26,0.7,1.299
1733437122.0026755,221842.0,48.68482507666667,-123.19206231166666,2,26,0.7,1.293
1733437123.0040631,221843.0,48.68482493166667,-123.19206232666667,2,26,0.7,1.294
