timestamp,distance [mm],confidence [%]
2022-08-15 10:52:37.410000,904,100
2022-08-15 10:52:37.487000,906,100
2022-08-15 10:52:37.547000,907,100
2022-08-15 10:52:37.618000,909,100
2022-08-15 10:52:37.683000,912,100
2022-08-15 10:52:37.741000,915,100
2022-08-15 10:52:37.827000,916,100
2022-08-15 10:52:37.879000,918,100
2022-08-15 10:52:37.944000,922,100
2022-08-15 10:52:38.015000,925,100
2022-08-15 10:52:38.075000,933,100
2022-08-15 10:52:38.146000,942,100
2022-08-15 10:52:38.214000,952,100
2022-08-15 10:52:38.279000,954,100
2022-08-15 10:52:38.352000,956,100
2022-08-15 10:52:38.398000,956,100
2022-08-15 10:52:38.480000,958,100
2022-08-15 10:52:38.532000,959,100
2022-08-15 10:52:38.608000,957,100
2022-08-15 10:52:38.669000,959,100
2022-08-15 10:52:38.738000,963,100
2022-08-15 10:52:38.808000,963,100
2022-08-15 10:52:38.866000,963,100
2022-08-15 10:52:38.939000,964,100
2022-08-15 10:52:38.991000,967,100
2022-08-15 10:52:39.061000,969,100
2022-08-15 10:52:39.120000,972,100
2022-08-15 10:52:39.198000,974,100
2022-08-15 10:52:39.278000,975,100
2022-08-15 10:52:39.346000,976,100
2022-08-15 10:52:39.396000,974,100
2022-08-15 10:52:39.476000,971,100
2022-08-15 10:52:39.528000,966,100
2022-08-15 10:52:39.594000,965,100
2022-08-15 10:52:39.668000,965,100
2022-08-15 10:52:39.735000,966,100
2022-08-15 10:52:39.806000,968,100
2022-08-15 10:52:39.876000,968,100
2022-08-15 10:52:39.930000,970,100
2022-08-15 10:52:40.014000,971,100
2022-08-15 10:52:40.058000,970,100
2022-08-15 10:52:40.139000,969,100
2022-08-15 10:52:40.195000,967,100
2022-08-15 10:52:40.283000,964,100
2022-08-15 10:52:40.314000,960,100
2022-08-15 10:52:40.393000,959,100
2022-08-15 10:52:40.448000,957,100
2022-08-15 10:52:40.517000,958,100
2022-08-15 10:52:40.594000,958,100
2022-08-15 10:52:40.647000,958,100
2022-08-15 10:52:40.718000,957,100
2022-08-15 10:52:40.774000,956,100
2022-08-15 10:52:40.850000,956,100
2022-08-15 10:52:40.918000,954,100
2022-08-15 10:52:40.979000,953,100
2022-08-15 10:52:41.049000,951,100
2022-08-15 10:52:41.122000,950,100
2022-08-15 10:52:41.178000,952,100
2022-08-15 10:52:41.247000,949,100
2022-08-15 10:52:41.307000,947,100
2022-08-15 10:52:41.385000,943,100
2022-08-15 10:52:41.438000,940,100
2022-08-15 10:52:41.509000,936,100
2022-08-15 10:52:41.582000,934,100
2022-08-15 10:52:41.637000,931,100
2022-08-15 10:52:41.707000,926,100
2022-08-15 10:52:41.781000,920,100
2022-08-15 10:52:41.840000,914,100
2022-08-15 10:52:41.908000,908,100
2022-08-15 10:52:41.972000,910,100
2022-08-15 10:52:42.037000,905,100
2022-08-15 10:52:42.107000,900,100
2022-08-15 10:52:42.164000,895,100
2022-08-15 10:52:42.246000,892,100
2022-08-15 10:52:42.304000,888,100
2022-08-15 10:52:42.379000,883,100
2022-08-15 10:52:42.430000,877,100
2022-08-15 10:52:42.497000,868,100
2022-08-15 10:52:42.563000,865,100
2022-08-15 10:52:42.635000,860,100
2022-08-15 10:52:42.689000,858,100
2022-08-15 10:52:42.765000,857,100
2022-08-15 10:52:42.819000,854,100
2022-08-15 10:52:42.900000,849,100
2022-08-15 10:52:42.964000,848,100
2022-08-15 10:52:43.026000,851,100
2022-08-15 10:52:43.088000,850,100
2022-08-15 10:52:43.158000,853,100
2022-08-15 10:52:43.230000,852,100
2022-08-15 10:52:43.294000,849,100
2022-08-15 10:52:43.364000,849,100
2022-08-15 10:52:43.434000,850,100
2022-08-15 10:52:43.491000,850,100
2022-08-15 10:52:43.575000,849,100
2022-08-15 10:52:43.632000,852,100
2022-08-15 10:52:43.701000,855,100
2022-08-15 10:52:43.756000,856,100
2022-08-15 10:52:43.839000,859,100
2022-08-15 10:52:43.880000,862,100
2022-08-15 10:52:43.949000,864,100
2022-08-15 10:52:44.034000,864,100
2022-08-15 10:52:44.102000,863,100
2022-08-15 10:52:44.159000,864,100
2022-08-15 10:52:44.229000,865,100
2022-08-15 10:52:44.277000,865,100
2022-08-15 10:52:44.347000,863,100
2022-08-15 10:52:44.418000,865,100
2022-08-15 10:52:44.473000,861,100
2022-08-15 10:52:44.549000,864,100
2022-08-15 10:52:44.604000,862,100
2022-08-15 10:52:44.692000,860,100
2022-08-15 10:52:44.748000,859,100
2022-08-15 10:52:44.815000,856,100
2022-08-15 10:52:44.878000,854,100
2022-08-15 10:52:44.932000,849,100
2022-08-15 10:52:45.002000,845,100
2022-08-15 10:52:45.077000,843,100
2022-08-15 10:52:45.137000,840,100
2022-08-15 10:52:45.208000,837,100
2022-08-15 10:52:45.275000,836,100
2022-08-15 10:52:45.333000,835,100
2022-08-15 10:52:45.410000,832,100
2022-08-15 10:52:45.465000,828,100
2022-08-15 10:52:45.543000,824,100
2022-08-15 10:52:45.597000,820,100
2022-08-15 10:52:45.672000,816,100
2022-08-15 10:52:45.730000,811,100
2022-08-15 10:52:45.798000,810,100
2022-08-15 10:52:45.862000,807,100
2022-08-15 10:52:45.933000,803,100
2022-08-15 10:52:46.004000,801,100
2022-08-15 10:52:46.068000,797,100
2022-08-15 10:52:46.125000,797,100
2022-08-15 10:52:46.201000,798,100
2022-08-15 10:52:46.263000,798,100
2022-08-15 10:52:46.328000,798,100
2022-08-15 10:52:46.405000,799,100
2022-08-15 10:52:46.449000,799,100
2022-08-15 10:52:46.530000,798,100
2022-08-15 10:52:46.589000,798,100
2022-08-15 10:52:46.656000,798,100
2022-08-15 10:52:46.737000,800,100
2022-08-15 10:52:46.788000,802,100
2022-08-15 10:52:46.855000,806,100
2022-08-15 10:52:46.913000,810,100
2022-08-15 10:52:46.992000,814,100
2022-08-15 10:52:47.059000,817,100
2022-08-15 10:52:47.112000,819,100
2022-08-15 10:52:47.191000,820,100
2022-08-15 10:52:47.246000,824,100
2022-08-15 10:52:47.347000,829,100
2022-08-15 10:52:47.387000,834,100
2022-08-15 10:52:47.446000,837,100
2022-08-15 10:52:47.513000,843,100
2022-08-15 10:52:47.581000,848,100
2022-08-15 10:52:47.654000,853,100
2022-08-15 10:52:47.725000,857,100
2022-08-15 10:52:47.795000,859,100
2022-08-15 10:52:47.840000,864,100
2022-08-15 10:52:47.918000,869,100
2022-08-15 10:52:47.975000,873,100
2022-08-15 10:52:48.049000,878,100
2022-08-15 10:52:48.118000,883,100
2022-08-15 10:52:48.187000,887,100
2022-08-15 10:52:48.242000,896,100
2022-08-15 10:52:48.308000,901,100
2022-08-15 10:52:48.375000,908,100
2022-08-15 10:52:48.449000,915,100
2022-08-15 10:52:48.505000,921,100
2022-08-15 10:52:48.576000,926,100
2022-08-15 10:52:48.630000,931,100
2022-08-15 10:52:48.714000,936,100
2022-08-15 10:52:48.759000,942,100
2022-08-15 10:52:48.831000,948,100
2022-08-15 10:52:48.908000,954,100
2022-08-15 10:52:48.967000,961,100
2022-08-15 10:52:49.036000,968,100
2022-08-15 10:52:49.106000,977,100
2022-08-15 10:52:49.162000,984,100
2022-08-15 10:52:49.230000,991,100
2022-08-15 10:52:49.290000,999,100
2022-08-15 10:52:49.366000,1007,100
2022-08-15 10:52:49.435000,1016,100
2022-08-15 10:52:49.485000,1023,100
2022-08-15 10:52:49.558000,1026,100
2022-08-15 10:52:49.621000,1033,100
2022-08-15 10:52:49.707000,1041,100
2022-08-15 10:52:49.751000,1049,100
2022-08-15 10:52:49.829000,1055,100
2022-08-15 10:52:49.885000,1062,100
2022-08-15 10:52:49.959000,1068,100
2022-08-15 10:52:50.012000,1075,100
2022-08-15 10:52:50.091000,1092,100
2022-08-15 10:52:50.149000,1109,100
2022-08-15 10:52:50.217000,1112,100
2022-08-15 10:52:50.277000,1116,100
2022-08-15 10:52:50.350000,1120,100
2022-08-15 10:52:50.421000,1124,100
