"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1264,"8/15/2022","10:17:04","00:21:04",-0.5,319,90,47.6196403,-122.3633575,10,56.71,21.0666666666667,0,0
1265,"8/15/2022","10:17:05","00:21:05",-1,316,90,47.6196403,-122.3633575,10,56.73,21.0833333333333,0,0
1266,"8/15/2022","10:17:06","00:21:06",-1,312,90,47.6196403,-122.3633575,10,56.75,21.1,0,0
1267,"8/15/2022","10:17:07","00:21:07",-0.6,315,90,47.6196403,-122.3633575,10,56.75,21.1166666666667,0,0
1268,"8/15/2022","10:17:08","00:21:08",-0.9,314,90,47.6196403,-122.3633575,10,56.75,21.1333333333333,0,0
1269,"8/15/2022","10:17:09","00:21:09",-0.6,320,90,47.6196403,-122.3633575,10,56.75,21.15,0,0
1270,"8/15/2022","10:17:10","00:21:10",-0.7,321,90,47.6196403,-122.3633575,10,56.79,21.1666666666667,0,0
1271,"8/15/2022","10:17:11","00:21:11",-0.6,317,90,47.6196403,-122.3633575,10,56.79,21.1833333333333,0,0
1272,"8/15/2022","10:17:12","00:21:12",0,319,90,47.6196365,-122.3633499,10,56.79,21.2,0.710030021866009,0.710296172219921
1273,"8/15/2022","10:17:13","00:21:13",-0.6,318,90,47.6196365,-122.3633499,10,56.8,21.2166666666667,0,0
1274,"8/15/2022","10:17:14","00:21:14",-0.3,318,90,47.6196365,-122.3633422,10,56.8,21.2333333333333,0.577768120893249,0.578611015868191
1275,"8/15/2022","10:17:15","00:21:15",-0.6,317,90,47.6196327,-122.3633422,10,56.79,21.25,0.4230140658373,0.422337977915588
1276,"8/15/2022","10:17:16","00:21:16",-0.6,317,90,47.6196327,-122.3633346,10,56.79,21.2666666666667,0.57026467851629,0.571096627045885
1277,"8/15/2022","10:17:17","00:21:17",-0.2,318,90,47.6196327,-122.3633346,10,56.79,21.2833333333333,0,0
1278,"8/15/2022","10:17:18","00:21:18",-0.6,317,90,47.6196327,-122.3633346,10,56.8,21.3,0,0
1279,"8/15/2022","10:17:19","00:21:19",0,319,90,47.6196365,-122.3633422,10,56.8,21.3166666666667,0.710030055577253,0.710296206530286
1280,"8/15/2022","10:17:20","00:21:20",-0.9,316,90,47.6196365,-122.3633422,10,56.8,21.3333333333333,0,0
1281,"8/15/2022","10:17:21","00:21:21",-0.6,315,90,47.6196365,-122.3633422,10,56.82,21.35,0,0
1282,"8/15/2022","10:17:22","00:21:22",-0.5,314,90,47.6196365,-122.3633422,10,56.8,21.3666666666667,0,0
1283,"8/15/2022","10:17:23","00:21:23",-0.2,313,90,47.6196365,-122.3633422,10,56.8,21.3833333333333,0,0
1284,"8/15/2022","10:17:24","00:21:24",0,297,90,47.6196365,-122.3633422,10,56.8,21.4,0,0
