"date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"8/15/2022","09:48:39","00:00:00",-0.1,13,98,47.6197395,-122.3632507,10,62.92,1.91666666666667
"8/15/2022","09:48:40","00:00:01",0.2,14,98,47.6197395,-122.3632507,10,62.92,1.93333333333333
"8/15/2022","09:48:41","00:00:01",-0.2,15,98,47.6197395,-122.3632507,10,62.91,1.95
"8/15/2022","09:48:42","00:00:03",-0.1,16,98,47.6197395,-122.3632507,10,62.92,1.96666666666667
"8/15/2022","09:48:43","00:00:04",0.1,17,98,47.6197395,-122.3632507,10,62.92,1.98333333333333
"8/15/2022","09:48:44","00:00:04",-0.2,17,98,47.6197395,-122.3632507,10,62.92,2
"8/15/2022","09:48:45","00:00:05",0.1,18,98,47.6197395,-122.3632507,10,62.91,2.01666666666667
"8/15/2022","09:48:46","00:00:06",0,19,98,47.6197395,-122.3632507,10,62.92,2.03333333333333
"8/15/2022","09:48:47","00:00:08",-0.3,19,98,47.6197395,-122.3632507,10,62.92,2.05
"8/15/2022","09:48:48","00:00:08",1.4,20,98,47.6197395,-122.3632507,10,62.91,2.06666666666667
"8/15/2022","09:48:49","00:00:09",0.3,39,98,47.6197395,-122.3632507,10,62.92,2.08333333333333
"8/15/2022","09:48:50","00:00:10",-0.7,35,98,47.6197395,-122.3632507,10,62.91,2.1
"8/15/2022","09:48:51","00:00:11",-1.7,36,98,47.6197395,-122.3632507,10,62.92,2.11666666666667
"8/15/2022","09:48:52","00:00:12",-0.6,31,98,47.6197395,-122.3632507,10,62.92,2.13333333333333
"8/15/2022","09:48:53","00:00:14",0.7,27,98,47.6197395,-122.3632507,10,62.92,2.15
"8/15/2022","09:48:54","00:00:15",1,22,98,47.6197395,-122.3632507,10,62.87,2.16666666666667
"8/15/2022","09:48:55","00:00:16",0,16,98,47.6197395,-122.3632507,10,62.64,2.18333333333333
"8/15/2022","09:48:56","00:00:17",-0.4,14,98,47.6197395,-122.3632507,10,62.33,2.2
"8/15/2022","09:48:57","00:00:18",-0.7,13,98,47.6197395,-122.3632507,10,62.02,2.21666666666667
"8/15/2022","09:48:58","00:00:19",-0.4,13,98,47.6197395,-122.3632507,10,61.72,2.23333333333333
"8/15/2022","09:48:59","00:00:20",0.2,13,98,47.6197395,-122.3632507,10,61.43,2.25
"8/15/2022","09:49:00","00:00:21",-0.4,12,98,47.6197395,-122.3632507,10,61.21,2.26666666666667
"8/15/2022","09:49:01","00:00:22",-0.4,13,98,47.6197395,-122.3632507,10,60.98,2.28333333333333
"8/15/2022","09:49:02","00:00:23",-0.3,13,98,47.6197395,-122.3632507,10,60.8,2.3
"8/15/2022","09:49:03","00:00:24",-0.7,14,98,47.6197395,-122.3632507,10,60.64,2.31666666666667
